temp,quantity,pressure,weight,time,delay,energy
25,1,1.22,6.102657559,5.972475497,1.6,49
45,19,1.31,5.623427233,4.615733025,1.5,34
39,15,3.87,6.972863435,9.18787868,1,11
35,9,0.83,4.248614175,2.240988289,2.7,100
35,8,3.96,4.252475364,4.159820864,1,45
37,13,3.36,5.279722274,8.423410455,0.4,29
53,27,1.1,8.884988914,9.028192774,1.5,72
50,24,1.01,7.304809995,7.651956448,0.3,22
35,10,0.8141867231,5.333289952,5.828969553,0.6,81
34,9,3.088570667,4.688815889,6.142726029,8.9,180
65,39,1.411816978,8.462433422,9.46053365,2.4,105
29,5,0.7658732798,2.574334735,2.61337126,0.1,45
48,23,2.991243116,2.739175187,3.249817329,3.8,114
59,32,2.208952224,7.791210704,5.008794797,2.5,40
67,41,1.09158256,12.89063964,12.5071406,2,112
60,30,1.189971885,6.279450938,6.764870395,1.5,22
38,14,1.125413679,8.96490473,7.181712365,4.7,130
42,18,1.135965998,3.383578895,4.599499563,2.4,81
46,21,3.199826184,1.536168021,2.576708842,8.1,193
55,28,2.660528221,12.62714212,12.38578577,0.5,21
56,31,1.511808856,5.664550082,3.657781208,0.9,25
57,27,1.77899714,8.364794276,10.46499073,2,63
29,5,1.242095871,3.557175244,1.229749265,1.2,62
44,18,2.77020023,7.062688884,9.566457284,0.7,43
36,11,3.553504293,6.09976188,4.060032891,3.9,152
43,19,1.162230056,9.360896783,10.12466658,0.5,29
40,16,1.489165226,2.32145466,1.823122286,0.2,83
46,20,1.261778729,2.498728794,2.779125055,2.4,158
56,30,0.8636669103,5.111724957,5.662593069,2.2,48
38,13,1.33750759,4.504041583,3.657959128,3.3,119
59,35,1.029500387,3.077508058,4.762893718,1.2,35
40,16,1.903971179,4.048488869,3.948983012,2,29
53,28,0.7613725456,7.302006011,9.396944306,0.6,41
30,6,1.233950982,4.602901195,4.621021744,0.9,18
31,5,4.800842121,6.787981828,5.462118172,1.8,50
48,24,1.372309171,8.361160502,8.984175039,0.7,81
59,35,1.856722333,4.326108298,4.517371787,2.9,121
51,25,2.498391711,4.809573445,6.960939077,1.4,71
42,18,1.887288193,4.079521021,5.182329124,5,141
38,13,0.7452635703,5.592051767,1.489034994,0.7,80
57,32,2.737306757,7.605795673,7.787361799,1.6,84
34,9,1.377369078,6.589433659,5.797798192,2.3,60
32,7,1.173052652,3.989373921,3.285073953,1.1,132
39,15,0.9743885323,6.576298353,8.341023341,0.7,45
46,20,3.995694068,6.915110525,7.29973761,5.7,104
57,31,2.434722457,6.077046328,7.801344553,2.5,52
39,14,1.234967851,6.112041311,5.012534927,0.7,43
37,12,1.413463538,3.883116899,5.445739714,0.2,194
56,26,2.246297888,5.989736515,3.199417582,4.5,81
40,16,5.945053141,9.06468495,6.914023289,1.8,49
32,8,1.123289586,4.677605025,6.375517778,0.7,8
61,37,1.007279925,2.022560023,2.038819076,2.9,131
30,6,1.945941607,7.16437627,4.94210424,0.1,72
50,26,1.029245068,4.013845458,6.041183441,2.1,190
29,5,0.759321035,3.440034915,4.822728585,0.2,44
41,17,2.855489312,3.300323968,3.971092293,8,139
55,30,0.8288483572,8.339271952,9.318393642,0.1,29
56,31,0.8060475721,5.833336125,3.512168262,1.2,131
28,2,0.9471347355,8.683061289,8.016926906,0.2,93
31,5,2.090659033,1.940378106,1.276725681,4.5,188
49,24,1.491856331,7.842104929,8.405348673,1.7,39
47,21,0.9531579576,6.253974594,7.545381256,5.7,125
42,18,2.631340035,5.35959302,5.406264639,1,22
